Tagline,Rate,Rating,Level,Number_of_jobs,Category,Skills
,$3,0,1,0,IT & Programming,"Java, C++, C"
Content Manager/Admin Support/Data entry,$9,0,1,0,Admin Support,"Adobe Photoshop, HTML5, Search Engine Optimization (SEO), WordPress, Content Writing, Microsoft Excel, Computer Skills, Microsoft Word, Microsoft PowerPoint, wordpress"
Online Advertising Specialist,$5,0,1,0,Sales & Marketing,.NET Framework
,$5,0,1,0,IT & Programming,"Microsoft Outlook, Microsoft Excel, Microsoft PowerPoint, Microsoft Word, General Office Skills, Computer Skills, Network Administration, TCP/IP, Windows XP Administration, Linux System Administration"
"video editor, graphic designer,",$9,0,1,0,Admin Support,"Adobe Photoshop CS6, Microsoft Excel, Microsoft Word, Microsoft Outlook, Email, Photography, Bookkeeping, General Office Skills, Accounting, Helpdesk"
,$11,36,1,0,Design & Multimedia,"Adobe Photoshop, iPhone App Development, Photography, Computer Skills, Adobe Acrobat, Adobe After Effects, Adobe Freehand, Adobe Premiere, Concept Design, Page Layout"
Creative IT Solution,$8,0,1,0,Design & Multimedia,"WordPress, Project Management, Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Dreamweaver, PHP5, HTML5, Search Engine Optimization (SEO), Content Writing"
WordPress|Parallax Design|PSD|HTML5CSS3|PHP|MySQL,$20,55,4,5,IT & Programming,"WordPress, CSS, HTML5, CodeIgniter, Web Programming, Graphic Design, PHP5, Web Development, User Interface Design, Web Design"
Student |Programmer |VFX artist |Cinematographer,$11,0,2,0,IT & Programming,"Adobe Photoshop CS6, Adobe Premiere Pro, Visual effects, Adobe Premiere, Photo Editing, Video Editing, Cinematography, Commercials, Digital Photography, Adobe After Effects"
,$3,60,1,0,Writing & Translation,i can type fast in english and well known about more online jobs
welcome to green hiker treks,,0,1,0,Writing & Translation,"Microsoft Word, Business Writing, Google AdWords, eBay Web Services, Google Webmaster Central, Wi-Fi"
Expert WordPress Designer and SEO Expert,$7,0,1,0,IT & Programming,"WordPress, Computer Skills, SEO, Blogging"
I am web designer usha,$7,0,1,0,IT & Programming,"Adobe Photoshop, HTML5, HTML, CSS"
Software Developer,$7,0,2,0,IT & Programming,"PHP, Android, CSS, Javascript, WordPress, Roku, HTML, iOS Development"
,,36,1,0,Finance & Management,"Business Analysis, Strategy, Business Intelligence, Stakeholder Management, Internet Banking, Program Management, Digital Adoption, Analytics, Change Management, Digital Strategy"
"Photo Designer, Photo Editor, Articles,Graphic,etc",,0,1,0,Design & Multimedia,".NET Framework, .NET for Web, AJAX, ActiveX, Adobe Air, 3D, 3D Design, 3D Modeling, 3d Animation, Adobe Acrobat"
ASP.NET|WCF | PHP | Android  | Metro | CodeIgniter,$27,0,1,0,IT & Programming,".NET Framework, PHP, Adobe Flex, Android, jQuery, ADO.NET, AJAX, Amazon Web Services, ASP.NET, C#"
"computer skills, researcher",,0,1,0,Admin Support,"Computer Skills, microsoft word, microsoft powerpoint, English, Data Entry, Email"
Graphic Designer,$3,48,1,0,Design & Multimedia,"Graphic Design, Logo Design, Photo Editing, Adobe Photoshop, Photography, Typing"
Legal expert in Nepali laws,$22,48,1,0,Legal,Nepali Advocate
UI/UX Designer & Frontend Developer,$22,0,1,0,IT & Programming,"Web and Mobile UI/UX, Adobe Photoshop, Adobe Illustrator, HTML5, CSS, Responsive, Cross-Browser, Javascript, jQuery, AJAX"
Sought about new technology.,$33,0,1,0,IT & Programming,"Adobe Photoshop, Adobe Dreamweaver, Cisco Certified Network Associate (CCNA), Cisco IOS, Cisco Routers, Computer Assembly, Computer Hardware Installation, Computer Networking, DHCP, Database"
,$11,0,1,0,IT & Programming,"Microsoft Excel, Data Entry, Graphic Designer, Web Designer"
Proficient Expert Opencart and PHP Programmer,$16,0,1,0,IT & Programming,"MySQL Administration, Ecommerce Application Developer, Module making for the opencart, REST"
Fluent in  SolidWorks and ANSYS CFX,,0,2,0,Engineering & Manufacturing,"SolidWorks, ANSYS, MATLAB, Microsoft Excel, Arduino, Mechanical Engineering, Mathematics, Materials Engineering, Autodesk Inventor, mathematics"
,$3,60,1,0,Admin Support,"Data Entry, Adobe Photoshop, HTML5, PHP5, Microsoft Excel, Microsoft Word, Microsoft PowerPoint, Computer Skills"
PHP Developer,$14,0,1,0,IT & Programming,"PHP5, Joomla!"
I'm a web development professional,$4,0,1,0,IT & Programming,"C++, C, codeIgniter, PHP, HTML, CSS"
Creative  Professional    Practical,$13,0,1,0,IT & Programming,"PHP5, Adobe Photoshop, HTML5, WordPress, Adobe Illustrator, Microsoft Excel, Graphic Design, Web Development, Logo Design, AJAX"
rajesh,$5,0,1,0,IT & Programming,"AJAX, Android, Application Programming, C, C++, Cisco Certified Entry Networking Technician (CCENT), Cisco Certified Network Associate (CCNA), Cisco Certified Network Professional (CCNP), CSS, CakePHP"
"Expert in Fast Typing,Designing page and Account",$10,0,1,0,Writing & Translation,"Translation Hindi English, Bluetooth, Wi-Fi, Android, Microsoft Excel, Content Writing, Online Writing, Fast Typing, Knowledge of Accounts, Music Lyrices Copying"
,,0,1,0,IT & Programming,"Windows Server, Microsoft SQL Server, MySQL, Mobile Technology, Travel Portal, Web Services, Web Application, ASP.NET MVC, Microsoft Exchange Server, Microsoft Sharepoint Administration"
Juniper & Cisco Expert,$33,0,1,0,IT & Programming,"Juniper, Cisco, Firewall., VPN, Cisco, Cisco Certified Network Associate (CCNA)"
"MBA with interest in Marketing,Economics and Tech.",$13,0,1,0,Finance & Management,"Market Research, Marketing, Sales, General Office Skills, Knowledge of Microsoft Office, Microsoft Excel, Microsoft PowerPoint, Financial Analysis"
,,0,1,0,IT & Programming,"C, Java, Javascript, HTML, UML, Linux System Administration, Microsoft PowerPoint, Eclipse, jQuery, AJAX"
4+ years experienced asp.net mvc developer.,$11,60,1,0,IT & Programming,"ASP.NET, ASP.NET MVC, C#, HTML5, SQL Programming, Javascript, .NET Framework"
"web developer, wordpress, php coder, php",$4,0,1,0,IT & Programming,"php handcode, Redesigning of websites, PHP"
System and Network Engineer/ Web and App Developer,$11,0,1,0,IT & Programming,"Cisco Certified Network Associate (CCNA), RHCE, MSCE, Java, Python, HTML 5, CSS3"
,,0,1,0,IT & Programming,"AJAX, J2EE, JDBC, JDBC Programming, JPA, JSON, JSP, JSTL, Java, Javascript"
Fast Typist and accuracy,$22,60,1,0,Writing & Translation,"Microsoft Excel, WordPress, Content Writing, i can type very fast and accurately..i can work on office well."
A new person in ELANCE... :),$11,60,2,0,IT & Programming,"C, C++, Java, Computer Skills, JSP, PHP, MySQL Administration, MySQL Programming, REST"
,$44,0,1,0,Writing & Translation,honest honest and honest .
"'Expert PHP Developer', 'Expert Survey Researcher",$110,0,1,0,Sales & Marketing,Internet Marketing
Guarenteed satisfaction,$13,0,2,0,IT & Programming,"Seo, Word 2010, Excel 2010, Outlook 2010, Microsoft PowerPoint, Microsoft Excel, Microsoft Word, Microsoft Outlook"
Mobile/Web Developer,$22,36,1,0,IT & Programming,"Microsoft SQL Server Programming, SQL Programming, .NET Framework"
Excel/Acess VBA developer,$16,0,1,0,IT & Programming,Microsoft Excel
,$548,0,1,0,Design & Multimedia,"Web Design, HTML5, CSS, PHP5, Online Writing, Content Writing, English, MySQL Administration"
,,0,1,0,Admin Support,"Microsoft Excel, General Office Skills, Internet Marketing, Marketing, Public Relations, Retail Sales Management, Telemarketing, Word-of-Mouth, Computer Skills, Customer Service"
microsoft excel,$33,36,1,0,Finance & Management,Microsoft Excel
Sherpa Technologies,$16,0,1,0,IT & Programming,"WordPress, Responsive Design, Magento, Joomla, Drupal, CSS3, HTML5, jQuery, Adobe Illustrator, Adobe Photoshop"
VFX all rounder,,0,1,0,Design & Multimedia,"Adobe After Effects, Nuke, rotoscoping, keying, paint, wire removal, chroma, key"
Because we can,$13,0,1,0,IT & Programming,"PHP, PHP5, HTML, HTML5, eCommerce Consulting, jQuery, Javascript, CSS, DHTML, Adobe Photoshop"
expert html,$55,0,1,0,IT & Programming,C++
,$11,0,1,0,Sales & Marketing,"Copywriting, Translation Hindi English, Account Management, Ad Posting, Facebook Marketing, Internet Marketing, Internet Surveys, Market Research, Pay Per Click Advertising, Sales"
Making a place for myself in web development,,0,1,0,IT & Programming,"PHP5, jQuery, Javascript"
Professional computer programmer,$13,36,1,0,IT & Programming,"CSS, HTML, Java, C++, MySQL Administration, AJAX, Java Servlets Development, Java EE, Core Java, Javascript"
Writer and Security Expert,$5,0,1,0,Writing & Translation,"Content Writing, Report Writing, Online Writing, Facebook Marketing, Academic Writing, Business Writing, Creative Writing, English, English Grammar, English Proofreading"
Cheap and Best,$5,0,1,0,Design & Multimedia,General Office Skills
Satisfaction of yours is my satisfaction,$5,0,1,0,IT & Programming,"ASP.NET, Computer Hardware Installation, IT Management, Microsoft Dynamics Administration, Microsoft Dynamics ERP, Microsoft SQL Server Programming, QGIS, SQL, System Administration, Adobe PDF"
.NET Expert,$11,0,1,0,IT & Programming,".NET Framework, ASP.NET, .NET for Web, ActiveX Data Objects (ADO), ADO.NET, AJAX, API Development, ASP, ASP.NET MVC, Active Directory"
EXPERT WEB DEZINER AND WEB DEVELOPERS FROM NEPAL,$8,0,1,1,IT & Programming,"CSS, HTML, XHTML, HTML5, Adobe Photoshop, PHP"
,,0,1,0,Finance & Management,"Finance, Budgeting, Project, Administrative Support, Clerical Skills, Data Entry, Data Sheet Writing, Filing, Office Administration, Order Entry"
i am a technical student i can do programming etc,$5,36,1,0,Design & Multimedia,"Computer Skills, C#, Adobe Photoshop, HTML, Web Design"
Web developer,$5,0,1,0,IT & Programming,"PHP5, WordPress, HTML, CSS, CakePHP, CodeIgniter, Javascript, Laravel Framework, jQuery"
I am a expert in Medical/General Transcription.,$5,0,1,0,Admin Support,"Data Entry, Microsoft Excel, Transcription, Search Engine Optimization (SEO), Web Design"
LAMP developer,$11,0,1,0,IT & Programming,"PHP5, Search Engine Optimization (SEO), MySQL Administration, HTML5, CSS, Javascript, XHTML, AJAX, HTML"
,,36,1,0,Writing & Translation,"Adobe Photoshop, English, Computer Skills, Creative Writing, Reviews"
"Wordpress, Magento, Joomla, Opencart,PHP,eCommerc",$22,0,2,3,IT & Programming,"WordPress, HTML5, CSS3, jQuery, AJAX, OpenCart, Magento, CodeIgniter, PHP, MySQL Programming"
,,0,1,0,IT & Programming,"Javascript, PHP5, ccna"
"Wordpress Design, HTML, Newsletter, E-mailer, CSS",$8,0,2,0,Design & Multimedia,"WordPress, eCommerce Consulting, PHP5, Adobe Photoshop, Adobe Dreamweaver, Photography, Photo Editing, Email, email template, Newsletter Design"
"Hi, I work as an Animator, TV  show Editor and Web",,0,2,0,Design & Multimedia,"Adobe Photoshop, WordPress, Adobe Illustrator, Microsoft Excel, Microsoft PowerPoint, Computer Skills, Microsoft Word, Microsoft Outlook, Web Design, Adobe Dreamweaver"
Documentation Expert,$3,0,2,0,Writing & Translation,"Computer Engineering, Microsoft Excel, Networking & Security, Internet Research, English, Microsoft Word, AutoCAD, SketchUp Pro, Article Rewriting, Blogging"
I would like to write html code also.,$11,0,1,0,Writing & Translation,"Adobe Photoshop, Microsoft Excel, Microsoft PowerPoint, Microsoft Word, Computer Skills, Content Writing, Creative Writing, CorelDraw, HTML, Adobe Freehand"
"Expert PHP Developer, Expert HTML5, Expert Yii",$16,0,1,0,IT & Programming,"PHP, HTML5, CSS, Yii, CodeIgniter, WordPress, jQuery, Javascript, PHP5, Laravel Framework"
"Vfx artist, Rotoscoping, Compositing",$16,60,3,0,Design & Multimedia,"rotoscoping, 3 yeares experience as vfx artist"
,,0,1,0,Writing & Translation,"PHP5, Adobe Photoshop, Microsoft Excel, Microsoft Word, HTML, Accounting, Online Writing, Content Writing, Web Design, css"
,,0,1,0,IT & Programming,"Affiliate Marketing, Blogging, Responsive Web Design, SEO"
"Web development, web design, ecommerce solutions!",$10,0,2,0,IT & Programming,"PHP5, HTML5, Joomla!, WordPress, eCommerce Consulting, iPhone App Development, Android, Data Modeling, Data Warehousing, Search Engine Optimization (SEO)"
,$12,0,1,0,Writing & Translation,"Creative Writing, Fiction Writing, Copywriting, Proofreading"
Web Developer,,0,1,0,IT & Programming,"HTML, XHTML, CSS, PHP, WordPress, Javascript, Computer Skills, C++, MySQL Programming, Adobe Photoshop"
Php Programmer,$11,0,1,0,IT & Programming,"PHP5, Javascript, AJAX, Adobe Photoshop, HTML5, Microsoft Excel, Computer Skills, Zend Framework, jQuery, WordPress"
Expert Website Developer team - 6 years,$20,0,1,0,IT & Programming,"CSS, Joomla!, LAMP Administration, PHP5, XHTML, English, WordPress"
http://www.yourlinknepal.com,$14,36,1,0,IT & Programming,".NET Compact Framework, .NET Framework, .NET for Web, C#, C++, CMS Development, CSS, Database, Database Management, J2ME"
Expert JAVA Developer,,0,1,0,IT & Programming,"Hibernate, EJB, Java, JSF, Web Services, OOP, JSP, JSON, Mobile Banking, Subversion"
,$110,0,1,0,Writing & Translation,".NET Framework, .NET for Web, Adobe Air, Android, C++"
PHP Developer,$5,0,2,0,IT & Programming,"PHP, AJAX, CSS, HTML, jQuery, MySQL Administration, Oracle Administration, PHP5, SQL Programming, AngularJS"
Civil Engineer with architecture experience,$9,0,1,0,Engineering & Manufacturing,"sketchup, Photography, structural design, public relation, abroad studying counselling, immigration counselling, real estate planning, real estate agent, database, ETABS"
Expert 'Plant Breeder' & Article Editor',,0,1,0,Writing & Translation,"Article Writing, Book Writing, Copy Editing, Proposal Writing, Report Writing"
,$11,0,1,0,IT & Programming,"Adobe Photoshop, Adobe Illustrator, HTML5, CSS3, SEO, SMO, Joomla"
Data Science Specialist,$11,60,5,1,IT & Programming,"Java, Android, Spring Framework, Hibernate, MySQL Administration, Statistics, Python, Artificial Neural Networks, HTML, Microsoft Excel"
A professional Web design / Development  House,$11,0,1,0,IT & Programming,"WordPress e-Commerce, WordPress, Javascript, MySQL Programming, Content Writing, PHP5, MySQL Administration, HTMl, css, css3"
,$8,0,1,0,Writing & Translation,"Internet Information Services (IIS), Adobe CS5, Adobe Imageready, Adobe PageMaker, Adobe Photoshop, Animation, Art Direction, Audio Editing, Audio Mixing, Banner Ads"
,$5,0,1,0,Writing & Translation,"Typing, PHP, HTML5, Microsoft Excel, Web Design, Data Entry, English, Translation English Japanese, Hindi, ebook Writing"
,$3,0,1,0,Writing & Translation,"PHP, C++, C, Microsoft Office, Adobe Dreamweaver, Java, HTML5, Search Engine Optimization (SEO), CSS, Content Writing"
Graphics Designer,$9,48,1,0,Design & Multimedia,"Graphic Designer, Web Designer, 3D Modeller, Character Modeller"
PHP developer,$11,48,1,0,IT & Programming,"HTML5, Content Writing, Creative Writing, English, Article Writing, Ad Posting, Advertising, Editing, PHP, WordPress"
,,0,1,0,Writing & Translation,"article writer, blogger, gamer"
,$11,0,1,0,Admin Support,"i am a mechanical engineer. i am good en excel and data entry, Data Entry, article writing"
expert  in graphic orientation and in programming,$11,0,1,0,Sales & Marketing,Mathematics
"'Expert Web Deeveloper', 'Expert Graphic Designer'",$5,60,1,0,IT & Programming,"HTML5, XHTML, CSS, Javascript, PHP5, jQuery, JQuery Mobile, WordPress, Adobe Photoshop, Adobe Dreamweaver"
Programmer/Designer/Developer,$5,0,1,0,IT & Programming,"WordPress, CSS, HTML5, jQuery, Javascript, Joomla!, PHP, AJAX, OpenCart"
,$11,0,1,0,Writing & Translation,"Content Writing, Computer Skills, Creative Writing, Online Writing, English, Report Writing"
,,0,1,0,Writing & Translation,"computer and internet, Communication, Content Writing, Report Writing, English, Microsoft Excel, Microsoft Word, Microsoft PowerPoint, Computer Skills"
,,0,1,0,IT & Programming,"PHP5, Search Engine Optimization (SEO), WordPress, CSS, MySQL Administration, HTML, Content Writing, Online Writing, Creative Writing, English"
Linux user with python and django experience,$21,0,3,0,IT & Programming,"Ubuntu, Subversion, Linux System Administration, APIs, AJAX, Test Driven Development, Python, Django, Javascript, Git"
Web Application Developer,$11,0,1,0,IT & Programming,"PHP/MySql web developer, Android, Joomla component/module and content management, Wordpress site developer, HTML/CSS/Javascript, Desktop application using Windev"
8 years experience working in the PHP and Related,$9,36,1,0,IT & Programming,"AJAX, jQuery, HTML, CakePHP, Smarty, OpenCart, Magento, eCommerce Consulting, WordPress, HTML5"
Its my passion not my job (Anyting u say ),,0,1,0,Engineering & Manufacturing,"Adobe Photoshop, Content Writing, Android, Microsoft Excel, HTML5, Adobe Illustrator, Adobe Dreamweaver, Adobe InDesign, WordPress, Photography"
"Expert content writer, Article writer",,0,1,0,Admin Support,"Content Writing, Microsoft Excel, Microsoft Word, Computer Skills, Microsoft PowerPoint, Technical Writing, Writing, Data Entry, Email, Mail Merge"
"Creative Writer, Content and SEO Expert",$4,0,1,0,Writing & Translation,"Creative Writing, Business Writing, Content Writing, Blogging"
,$11,0,1,0,IT & Programming,"HTML5, CSS3, TWITTER BOOTSTRAP, WordPress, Joomla!, eCommerce Consulting, ASP.NET MVC, Windows Communication Foundation (WCF), Content Management System, Call Center Skills"
,,0,1,0,Sales & Marketing,"Microsoft Word, Microsoft PowerPoint, Computer Skills, Customer Service, Time Management, Email, English, Accounting, Bookkeeping"
creative and innovative web developer.,$12,0,1,0,IT & Programming,"html, css, jquery, javascript, php, seo, wordpress, photoshop, cms"
,$11,0,1,0,Admin Support,"Active Directory, C, C++, Computer Skills, Knowledge of Microsoft Office, Microsoft Excel, Microsoft PowerPoint, Amplifiers and Filters, Digital Electronics, Materials Engineering"
,$5,36,1,0,Writing & Translation,"Report Writing, Online Writing, Content Writing, Technical Writing, Resume Writing, Business Writing"
,$3,0,1,0,Writing & Translation,"Microsoft Excel, General Office Skills, English Proofreading, Excellent in English typing, Highly skilled in MS Word"
,$16,0,1,0,IT & Programming,"php, mysql, android, html5, css, jquery, angularjs"
,$110,0,1,0,IT & Programming,"Microsoft Excel, Content Writing, Adobe Photoshop, PHP5, HTML5, MySQL Administration, HTML, CSS, Database, Database Management"
"epert in php,nternet marketing,programming,java",$22,0,1,0,IT & Programming,"PHP, Adobe Photoshop, Adobe Dreamweaver CS5, WordPress, Microsoft Word, Microsoft PowerPoint, Microsoft Excel, Computer Skills, Web Design, HTML"
PSD to HTML | Responsive WebDesign | Wordpress,$11,48,2,0,IT & Programming,"WordPress, Bigcommerce, Bootstrap 3, CSS3, CSS, jQuery"
Simple Solutions for a Complex World,$16,0,1,0,IT & Programming,"Adobe Photoshop, PHP5, PHP, Yii, MySQL, CSS, HTML, jQuery, Project Management, Web Application Prototyping"
,$5,0,1,0,Writing & Translation,"Typing, Adobe Photoshop, Content Writing"
I am a expert in Medical/General Transcription.,$5,0,1,0,IT & Programming,"Transcription, Microsoft Excel, Microsoft Word, Web Development"
,,0,1,0,Writing & Translation,"Microsoft Excel, Microsoft PowerPoint, Microsoft Word, Computer Skills, Content Writing, Creative Writing, Report Writing, Online Writing, English, Editing"
"Web Designer , Wordpress Developer",$11,0,1,0,IT & Programming,"Adobe Photoshop, HTML, CSS, PHP5, WordPress, Adobe Illustrator, HTML5, responsive layout"
Expert WP Developer,$8,0,1,0,IT & Programming,"WordPress, Laravel Framework, CSS3.0, HTML5, PHP5, Magento, AJAX, jQuery, JSON, CodeIgniter"
Expert Web Developer,,0,1,0,IT & Programming,"HTML5, Search Engine Optimization (SEO), WordPress, Adobe Photoshop, Adobe Dreamweaver, PHP5, CSS, AJAX, HTML, XHTML"
"php,javascript,html5,wordpress",$11,60,1,0,IT & Programming,"WordPress, Web Services, Database, Accounting, PHP, HTML5, Search Engine Optimization (SEO), Microsoft Excel, Microsoft Word, Microsoft PowerPoint"
Lok Prasad Dhakal,$3,0,1,0,Admin Support,"Microsoft Word, Microsoft Excel, Microsoft PowerPoint, HTML, Internet"
"Web Developer, WordPress Expert, PHP Programmer",$3,60,1,0,IT & Programming,"Search Engine Optimization (SEO), WordPress, CSS, HTML, XHTML, PHP, PHP5, Content Writing, HTML5, Microsoft Excel"
"Football Writer, Soccer Writer, Sports Writer",$8,60,11,22,Writing & Translation,"English, English Spelling, Online Writing, Sports Writing, Football Writing, Soccer Writing, Creative Writing, Content Writing, English Grammar"
"RWD, Squarespace, Thesis2.0, HTML5/CSS3, WordPress",$25,48,7,30,IT & Programming,"Responsive Web Design, Thesis Theme, HTML5, CSS3, jQuery, WordPress, Twitter Bootstrap, Magento, Sass, LESS"
"""Expert PHP"", ""Wordpress"", ""CSS"", ""HTML""",$15,0,1,0,IT & Programming,"HTML, CSS3, PHP, Javascript, Microsoft Excel, Adobe Illustrator, WordPress, Content Writing, Adobe Photoshop, PHP5"
,,0,1,0,Writing & Translation,"Technical Writing, Resume Writing, Report Writing, Online Writing"
,$5,0,1,0,Writing & Translation,"Content Writing, Computer Skills, Microsoft Excel, Microsoft Word, Adobe Photoshop, Data Entry, Python"
,$27,60,1,0,Engineering & Manufacturing,"Microsoft Excel, AutoCAD, Mechanical Engineering, Computer Skills, Technical Writing"
Expert PHP Developer,$7,0,1,0,IT & Programming,"Android, PHP5, AJAX, PHP, Codeigniter, Laravel, Wordpress, Javascript, Jquery, mysqsl"
,,0,1,0,IT & Programming,"WordPress, Android, Microsoft Excel, HTML5, HTML, CSS, MySQL Administration, Typing"
"Expert UI,UX,Front end Wordpress ,PHP developer",$3,0,1,0,IT & Programming,"HTML5, CSS3, PHP5, WordPress, jQuery, Javascript, Bootstrap, Adobe Photoshop"
,,0,1,0,Admin Support,"Microsoft Excel, Microsoft Word, Microsoft PowerPoint, Computer Skills"
"Computer programmer, health care assistant",$3,0,1,0,Admin Support,"Computer Skills, Accounting, Digital Electronics, Adobe Photoshop, Adobe InDesign, Web Design, Microsoft Outlook, Microsoft Word, Knowledge of Microsoft Office, Customer Service"
Web programmer,,0,1,0,IT & Programming,
We digitalise your DREAMS.,$15,36,1,0,IT & Programming,"PHP5, Adobe Photoshop, WordPress, AJAX, iPhone App Development, Android, Java, HTML5, jQuery, Javascript"
"Opencart programmer, opencartnepal.com",$11,0,1,0,IT & Programming,"PHP5, HTML5, OpenCart, CSS3, WordPress, MySQL Administration, AJAX, jQuery, bootstrap, responsive theme"
,,0,1,0,IT & Programming,"Microsoft Visual Studio, VB.NET, web designing, programming, android app"
"Data entry, PDF, word, spreadsheet, web research",$3,0,1,0,Admin Support,
Can create content as per client's need,,36,2,0,Writing & Translation,"Content Writing, Blogging, Blog Writing, Travel Writing, Search Engine Optimization (SEO), SEO Keyword Research, Social Media Optimization (SMO), Facebook Marketing, Online Writing, Creative Writing"
"Developer, and Writer",$22,0,2,0,Writing & Translation,".NET Framework, Business Writing, Creative Writing, Management Skills, Project Management, Social Media Marketing, Microsoft PowerPoint, U.S. Culture, HTML, Microsoft SQL Server Programming"
,$3,0,1,0,Writing & Translation,"Content Writing, Social Media Marketing, basic java, html, css bootstrap"
Interactive Programmer,$11,0,1,0,IT & Programming,"iOS 6, Android, HTML5, Javascript, jQuery, Java, Objective-C, ActionScript, HTML, CSS3"
WORDPRESS EXPERT | PHP |Responsive Design,$17,60,6,16,IT & Programming,"PHP5, Adobe Photoshop, Search Engine Optimization (SEO), HTML5, WordPress, HTML, CSS, Adobe Illustrator, Adobe Dreamweaver, PSD to Wordpress"
Web developer,,55,2,0,IT & Programming,"HTML, CSS, Android, Javascript, C, HTML5, Mathematics, Web Design, Java, English Grammar"
Responsive WordPress HTML/CSS Developer,$22,60,7,9,Design & Multimedia,"WordPress, Adobe Photoshop, PHP5, css"
,$10,0,2,0,Design & Multimedia,"Chroma key, The Pixel Farm PFTrack, The Foundry NUKE, Mocha, Adobe After Effects, Adobe Premiere, Adobe Photoshop, Adobe Illustrator, rotoscoping, roto"
,$5,0,1,0,Writing & Translation,"Translation French English, Adobe InDesign, Content Writing"
Admin Support.,$6,0,1,0,Admin Support,"Internet Research, Administrative Support, Content Writing, eBay Listing/Writing, Prestashop, Adobe Photoshop, WordPress"
Media and Tourism Expert/Writer,$11,0,1,0,Admin Support,"Office Administration, Journalism Trainer, Journalism Training organizer, Trekking Organizer andTrekking Guide, Journalism Research and Journalism Writer, Adventure Travel Writer, Article Writing on Contemporary Political, Article on Tourism issues, Adventure travel book writing, Article Writing"
"Expert Article Writer, Blogger.",$11,60,1,0,Writing & Translation,"Content Writing, Online Writing, Resume Writing, Microsoft Word, English, Email, Report Writing, Academic Writing, Computer Skills, Creative Writing"
Expert WordPress and Writings,$9,0,1,0,Writing & Translation,"WordPress, HTML, CSS, Microsoft Excel, Microsoft Word, Microsoft PowerPoint, Computer Skills, Content Writing, Creative Writing, Report Writing"
,,0,1,0,Writing & Translation,"Typing, Database Programming, Data Entry, Microsoft Excel, Microsoft Word, Computer Skills, Microsoft PowerPoint, Content Writing, WordPress, Creative Writing"
"Mechanical Design, Modeling and Simulation, CFD",$7,0,1,0,Sales & Marketing,"ANSYS, CATIA, Computer-Aided Design, Engineering Design, Finite Element Analysis, Materials Engineering, Mathematics, Mechanical Design, Mechanical Engineering, SolidWorks"
Sagun,$15,0,2,1,IT & Programming,"Oracle Administration, Visual Basic, Microsoft Access Administration, Microsoft SQL Server Programming, Java"
"Data Entry, Virtuall Asistant",$11,0,1,0,IT & Programming,"HTML5, CSS, Data Modeling, Joomla!, WordPress, Call Center Skills, Computer Skills, Customer Service"
,,0,1,0,IT & Programming,"Java, JavaScript, XML, Software Development, Linux, MySQL, C++, Agile Methodologies, Android, C"
Perfessional web developer and creative graphic de,$33,0,1,0,IT & Programming,"Programmer and Developer, CSS, Drupal, HTML, Joomla!, OpenCart, PHP, Perl, Web Development, Web Hosting"
,$10,0,1,0,IT & Programming,"PSD to HTML, PSD2CMS, HTML5, CSS3, jQuery, WordPress"
Drupal experts for $12 per hour,$12,0,1,0,IT & Programming,"Drupal, Data Modeling, MySQL Administration, AJAX, PayPal Development, Adobe Photoshop, Java, PHP, Ruby on Rails, Adobe Flash"
Expert front end developer,$16,0,1,0,Writing & Translation,"HTML5, CSS3, CSS, Frontend Development, HTML, Javascript, WordPress, Nodejs, Bootstrap3"
,,0,1,0,Design & Multimedia,"Microsoft Excel, Microsoft Word, Computer Skills, Microsoft PowerPoint"
,$11,0,1,0,Writing & Translation,"Academic Writing, Article Writing, Creative Writing, Medical Writing, Microsoft Word, Online Writing, Adobe PDF, Report Writing, Resume Writing, Reviews"
Photoshop Expert & Graphics Designer,$11,0,1,0,Design & Multimedia,"Pure Hand made clipping path, Hair Masking of Model along with bg change, Creating invisible man, Resizing of images, Jwellery retouch, Vector designing of Logo, color correction and old photo restoration, All the work which are related to Photoshop with Highly dedicted, Beauty retouch &amp; Product retouch, Typing"
,$16,0,1,0,Design & Multimedia,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Microsoft Excel, Microsoft Word, Microsoft PowerPoint, Computer Skills"
"""I HAVE SEEN THINGS YOU PEOPLE WOULD'T BELIEVE""",$8,0,1,0,Admin Support,"Data Entry, HTML5, Administrative Support, Chat Support, Data Backup, Data Recovery, Internet Research, PDF Conversion, eBay Listing/Writing"
"Java, Ruby, Ruby on Rails, Software Developer",$11,60,1,0,IT & Programming,"Ruby on Rails, Play Framework, Ruby, ElasticSearch, Java EE, Hibernate, JBoss AS 7, JSF 2.1, JSP, CDI"
Ready,$4,0,1,0,Admin Support,"Excel worksheet, Accountancy"
Web Developer and Designer,$16,0,2,0,IT & Programming,"HTML, HTML5, CSS, WordPress, Magento, Adobe Photoshop, Search Engine Optimization (SEO), English Spelling"
,$5,0,1,0,IT & Programming,"C, C++, PHP, HTML, HTML5, Java, Javascript, Object Oriented Programming (OOP), Python, Business Proposal Writing"
Brand consultant,$21,0,2,0,Sales & Marketing,"Marketing, Advertising, Content Writing, Public Relations"
,,0,1,0,Finance & Management,Microsoft Excel
,$3,60,1,0,Writing & Translation,"Content Writing, Academic Writing, Adobe PDF"
,$16,0,1,0,Writing & Translation,"Programming, Web Designing, Article Writting"
